"","años","crucero verano","crucero otoño","crucero huevos","desembarques"
"1",1991,0,0,0,494567
"2",1992,0,0,0,514787
"3",1993,0,0,0,250237
"4",1994,0,0,0,358949
"5",1995,0,0,0,120608
"6",1996,0,0,0,361735
"7",1997,0,0,0,552515
"8",1998,0,0,0,73892
"9",1999,0,0,0,212993
"10",2000,252601,0,0,205616
"11",2001,567819,0,0,52469
"12",2002,844713,0,498337,317467
"13",2003,477998,0,0,293654
"14",2004,351125,0,5186,387597
"15",2005,339783,0,125008,252695
"16",2006,2178397,552880,0,516296
"17",2007,2134043,188675,168611,358380
"18",2008,4813144,0,109162,742168
"19",2009,1555625,991730,213762,942051
"20",2010,2623565,2467720,579715,627588
"21",2011,3216857,1416034,649985,828172
"22",2012,3843000,1217169,157893,859565
"23",2013,1133477,2296489,87575,418607
"24",2014,3079434,1805815,83554,520667
"25",2015,1972148,0,0,417249
"26",2016,2032684,1482799,0,300574
"27",2017,2025002,1565315,0,415391
"28",2018,2424330,1577507,0,372974
"29",2019,2275425,1421176,0,316634
"30",2020,1050175,867257,0,284311
"31",2021,2363380,1100020,0,391294
"32",2022,3189821,1062045,0,218835
